date,hip hop music,pop music,r and b music,country music,rock music,alternative music,kpop music,metal music,latin music,indie music
2018-01-01,1.0,0.8888888888888888,0.0,0.2666666666666667,0.9090909090909092,1.0,0.4285714285714286,0.6969696969696968,0.17391304347826086,0.8666666666666667
2018-02-01,1.0,0.8888888888888888,0.0,0.35,1.0,0.9285714285714284,0.3571428571428572,0.7575757575757573,0.23188405797101452,0.8666666666666667
2018-03-01,1.0,0.8888888888888888,0.0,0.31666666666666665,1.0,0.7857142857142856,0.2857142857142858,0.7575757575757573,0.21739130434782605,0.7999999999999998
2018-04-01,0.857142857142857,0.8888888888888888,0.0,0.4833333333333333,0.9090909090909092,0.9285714285714284,0.3571428571428572,0.606060606060606,0.37681159420289856,0.4666666666666668
2018-05-01,0.857142857142857,0.7777777777777777,0.0,0.2833333333333333,0.8181818181818183,0.6428571428571428,0.3571428571428572,0.606060606060606,0.21739130434782605,0.5333333333333332
2018-06-01,0.7142857142857142,0.5555555555555558,0.0,0.31666666666666665,0.7272727272727271,0.9285714285714284,0.2857142857142858,0.3939393939393938,0.23188405797101452,0.4666666666666668
2018-07-01,0.7142857142857142,0.44444444444444464,0.0,0.2666666666666667,0.6363636363636362,0.6428571428571428,0.2857142857142858,0.3939393939393938,0.1594202898550725,0.6000000000000001
2018-08-01,0.7142857142857142,0.3333333333333335,0.0,0.2666666666666667,0.5454545454545454,0.6428571428571428,0.3571428571428572,0.3939393939393938,0.2028985507246377,0.6666666666666665
2018-09-01,0.857142857142857,0.6666666666666665,1.0,0.20000000000000007,0.7272727272727271,0.7142857142857144,0.2857142857142858,0.36363636363636354,0.37681159420289856,0.6666666666666665
2018-10-01,0.857142857142857,0.6666666666666665,1.0,0.16666666666666674,0.6363636363636362,0.6428571428571428,0.0714285714285714,0.3939393939393938,1.0,0.3999999999999999
2018-11-01,0.857142857142857,0.7777777777777777,0.0,0.3833333333333334,0.7272727272727271,0.5714285714285716,0.4285714285714286,0.5151515151515151,0.2753623188405797,0.6666666666666665
2018-12-01,0.857142857142857,0.6666666666666665,1.0,0.21666666666666667,0.8181818181818183,0.5714285714285716,0.3571428571428572,0.5151515151515151,0.17391304347826086,0.5333333333333332
2019-01-01,0.857142857142857,0.5555555555555558,0.0,0.21666666666666667,0.6363636363636362,0.5714285714285716,0.2857142857142858,0.3939393939393938,0.13043478260869568,0.3999999999999999
2019-02-01,0.857142857142857,0.5555555555555558,1.0,0.21666666666666667,0.8181818181818183,0.7857142857142856,0.1428571428571428,0.45454545454545436,0.21739130434782605,0.6666666666666665
2019-03-01,0.857142857142857,0.5555555555555558,1.0,0.2833333333333333,0.7272727272727271,0.5,0.1428571428571428,0.48484848484848486,0.14492753623188404,0.4666666666666668
2019-04-01,0.7142857142857142,0.5555555555555558,0.0,0.41666666666666663,0.7272727272727271,0.5,0.4285714285714286,0.7272727272727271,0.30434782608695654,0.5333333333333332
2019-05-01,0.7142857142857142,0.6666666666666665,0.0,0.30000000000000004,0.7272727272727271,0.4285714285714288,0.3571428571428572,0.3939393939393938,0.13043478260869568,0.5333333333333332
2019-06-01,0.7142857142857142,0.44444444444444464,0.0,0.4,0.7272727272727271,0.5,0.2857142857142858,0.2727272727272727,0.1594202898550725,0.5333333333333332
2019-07-01,0.5714285714285714,0.3333333333333335,0.0,0.2666666666666667,0.36363636363636376,0.4285714285714288,0.1428571428571428,0.2727272727272727,0.10144927536231885,0.3333333333333335
2019-08-01,0.5714285714285714,0.3333333333333335,0.0,0.2833333333333333,0.5454545454545454,0.4285714285714288,0.1428571428571428,0.33333333333333326,0.18840579710144933,0.3333333333333335
2019-09-01,0.7142857142857142,0.6666666666666665,0.0,1.0,0.6363636363636362,0.4285714285714288,0.0,0.33333333333333326,0.26086956521739135,0.2666666666666666
2019-10-01,0.7142857142857142,0.5555555555555558,0.0,0.2833333333333333,0.5454545454545454,0.5,0.0714285714285714,0.2727272727272727,0.7246376811594204,0.3999999999999999
2019-11-01,0.7142857142857142,0.5555555555555558,0.0,0.5166666666666667,0.7272727272727271,0.5714285714285716,0.2857142857142858,0.48484848484848486,0.26086956521739135,0.3333333333333335
2019-12-01,0.5714285714285714,0.5555555555555558,1.0,0.25,0.6363636363636362,0.7142857142857144,0.3571428571428572,0.5454545454545454,0.13043478260869568,0.2666666666666666
2020-01-01,0.5714285714285714,0.5555555555555558,0.0,0.35,0.4545454545454546,0.5714285714285716,0.2142857142857144,0.3939393939393938,0.08695652173913049,0.3333333333333335
2020-02-01,0.5714285714285714,0.7777777777777777,0.0,0.2833333333333333,0.6363636363636362,0.4285714285714288,0.1428571428571428,0.4242424242424241,0.1159420289855072,0.5333333333333332
2020-03-01,0.5714285714285714,0.6666666666666665,0.0,0.2666666666666667,0.4545454545454546,0.2857142857142856,0.1428571428571428,0.2424242424242422,0.05797101449275366,0.5333333333333332
2020-04-01,0.7142857142857142,1.0,1.0,0.25,0.7272727272727271,0.7142857142857144,0.6428571428571428,0.606060606060606,0.07246376811594202,1.0
2020-05-01,0.5714285714285714,0.8888888888888888,0.0,0.16666666666666674,0.5454545454545454,0.6428571428571428,0.7142857142857144,0.6969696969696968,0.1159420289855072,0.6666666666666665
2020-06-01,0.5714285714285714,0.5555555555555558,0.0,0.1166666666666667,0.2727272727272725,0.3571428571428572,1.0,0.45454545454545436,0.014492753623188415,0.6666666666666665
2020-07-01,0.4285714285714286,0.5555555555555558,0.0,0.08333333333333337,0.18181818181818166,0.4285714285714288,0.8571428571428572,0.21212121212121193,0.05797101449275366,0.7333333333333334
2020-08-01,0.4285714285714286,0.5555555555555558,0.0,0.08333333333333337,0.2727272727272725,0.5714285714285716,0.8571428571428572,0.45454545454545436,0.014492753623188415,0.4666666666666668
2020-09-01,0.5714285714285714,0.7777777777777777,1.0,0.2666666666666667,0.36363636363636376,0.5,0.7142857142857144,0.303030303030303,0.1159420289855072,0.6000000000000001
2020-10-01,0.4285714285714286,0.44444444444444464,0.0,0.1166666666666667,0.09090909090909083,0.7857142857142856,0.6428571428571428,0.2727272727272727,0.23188405797101452,0.4666666666666668
2020-11-01,0.2857142857142857,0.3333333333333335,1.0,0.09999999999999998,0.18181818181818166,0.5714285714285716,0.7142857142857144,0.21212121212121193,0.13043478260869568,0.20000000000000018
2020-12-01,0.2857142857142857,0.44444444444444464,1.0,0.08333333333333337,0.18181818181818166,0.5714285714285716,0.7142857142857144,0.303030303030303,0.08695652173913049,0.4666666666666668
2021-01-01,0.4285714285714286,0.5555555555555558,0.0,0.050000000000000044,0.18181818181818166,0.4285714285714288,0.6428571428571428,0.21212121212121193,0.5362318840579711,0.3999999999999999
