date,hiphop,pop,country,rock,alter,kpop,metal,latin,indie
2025-01-01,4.892896771862751,18.791464988948334,45.61356104572113,28.09729489564279,37.039008734817365,25.10562491559772,74.46845411145564,34.64739495777151,35.902823065572065
2025-02-01,4.83022860369439,19.872796082348113,48.3795996047147,28.974056409024662,41.45911602914656,23.262119685684784,75.4949361066783,36.345046977191615,37.196838290335045
2025-03-01,4.765543088368823,20.330993513270524,49.67576305941071,28.465618162411854,39.32746804241645,22.87373284355133,75.39071408905059,37.780383699911454,37.48881916126759
2025-04-01,4.602547762832272,19.987952037775955,54.062365073743045,28.605733142255602,39.40689891246484,24.962200090088658,74.78739017515936,52.32186112043519,39.06559722646488
2025-05-01,4.532209680308108,19.76705023535579,52.33515502674377,27.869086608717478,36.56088880220425,24.506714680316026,74.49224209222692,37.42093115712065,34.98621708930521
2025-06-01,4.356872944032706,18.104189315276134,50.263891915715895,27.817064935955294,37.18916650766555,24.773487086812338,73.04747671596907,34.99364158368627,35.846458139860694
2025-07-01,4.062210713114296,16.637699715116586,47.3429212838605,26.94030342257342,35.569166230547935,25.123909841574672,73.62432233155498,32.38877953784532,34.89574899565737
2025-08-01,4.121382050826012,17.177193674505517,48.02900619878533,27.36064836210467,38.18224639319589,23.059820592267567,73.6242202637552,33.052969024657415,34.72138497160146
2025-09-01,4.474835799707244,18.722087704825228,52.3059872524609,27.500763341948417,37.977171823353814,23.24769443022166,75.6445825274293,39.40886774210303,33.960851737727175
2025-10-01,4.238694180930276,18.341678375445532,44.65275455839008,27.36064836210467,37.77908880738061,23.988455061049994,74.20144200162763,41.96262581398865,33.505120450411155
2025-11-01,4.262950314635608,19.041409133713184,49.524859609519346,28.23740987548654,39.77677666271298,25.442829368993472,75.6445745434453,38.7752215143962,33.240650051985924
2025-12-01,4.207997460681339,18.264238005552656,43.227217070876804,28.65775481501779,41.778171713765204,24.526824212058422,77.08770828317688,35.59217564601218,34.68968947009003
2026-01-01,4.299571536823052,18.176956506699383,46.20760804533321,28.53127230751593,39.39232001384383,23.853946399325153,76.35703612380709,34.093153908602254,34.927837625560336
2026-02-01,4.339149542549443,19.43362994228944,48.91948011412692,29.02244299606027,44.75986221370487,22.100299287829877,76.65330634094768,35.17469149759155,36.46546427033832
2026-03-01,4.332427974119435,19.190252843856932,50.16641609634808,28.582879914615265,42.70681255864484,21.923826182946684,76.62322506435137,36.088691671958074,36.124378125025466
2026-04-01,4.223131700167811,18.741535829587644,54.50827930561254,28.970835388960943,42.73882049406296,24.13926909103122,76.4490895953438,45.3500922985974,37.641031306162176
2026-05-01,4.17771509537039,18.997510774705308,52.74040983455034,28.86762017476228,40.99912644314944,23.757062463497572,76.36390194002449,35.85979771488639,34.71048723325357
2026-06-01,4.041103880680083,17.065171686914077,50.63219471368177,27.75536135882458,41.25090590987256,24.44379100067682,75.94690389236443,34.313896599916056,34.999228140243176
2026-07-01,3.804514119629163,15.926174737429351,47.67764143616092,27.264190670280243,38.20438453730509,25.343773769597092,76.11339701253581,32.65487699120056,34.2912821921682
2026-08-01,3.8541644238071937,16.790477685201502,48.33320584368294,28.428057093317275,42.24811733942261,22.398648022881275,76.11336755302442,33.07789666848674,34.18619695158893
2026-09-01,4.142364721840581,18.657758739756503,52.582449315828924,28.816012567662952,42.76530343162663,22.093744817806183,76.69649830433043,37.12590611612376,34.26291996305388
2026-10-01,3.950731454564238,18.14072170762289,44.904008212901836,28.428057093317275,41.48722945436653,22.43032760996743,76.27996923220081,38.752371103732315,33.49653609774989
2026-11-01,3.970655674457176,18.71559332413154,49.753203412413846,28.91922778186161,43.48629773881118,23.812029381024537,76.69649599993798,36.72234332546663,33.30773809331275
2026-12-01,3.9260699001026014,18.098013807388792,43.43473999197279,30.083094204898643,45.486859896873376,23.02544014246212,77.11302311342531,34.69509198640184,34.891191508541816
